Field (Oe)	Long Moment (emu)
64900	1.92357296078431E-5
61468.75	1.81622023897059E-5
58037.5	1.78116163480392E-5
54606.25	1.78005401102941E-5
51175	1.75242677941177E-5
47743.75	1.74954464583334E-5
44312.5	1.72295662990196E-5
40881.25	1.75582547671569E-5
37450	1.67308844117647E-5
34018.75	1.64708866053922E-5
30587.5	1.53122515441177E-5
27156.25	1.59097635416667E-5
23725	1.57330010294118E-5
20293.75	1.50566502818627E-5
16862.5	1.464033875E-5
13431.25	1.40050174142157E-5
10000	1.31608823529412E-5
8019.735	1.14764190996373E-5
6825.587	1.20831716073E-5
5621.274	1.14613232987176E-5
4416.96	1.06154104075294E-5
3212.791	7.90077277850784E-6
2008.119	7.15381676539412E-6
1505.964	6.57005497520784E-6
1305.102	6.05157927874118E-6
1104.326	5.42757435304706E-6
903.5785	4.65028405122843E-6
702.6879	3.80192776282176E-6
501.9403	2.80536855176216E-6
300.9924	1.89877236631294E-6
100.1877	6.5832254728098E-7
-100.3594	-7.38121674828627E-7
-301.2072	-1.94421784731137E-6
-502.1694	-3.10249354441686E-6
-702.9456	-3.97526079839686E-6
-903.8076	-4.73793551447137E-6
-1104.555	-5.49175200508824E-6
-1305.36	-6.04969355184314E-6
-1506.193	-6.69087086254314E-6
-2008.262	-7.6717883525451E-6
-3514.012	-9.76349686578039E-6
-5019.546	-1.07906512224196E-5
-5019.404	-1.10276216688549E-5
-7000	-1.20932019607843E-5
-8000	-1.25224156862745E-5
-10029.07	-1.34560438039804E-5
-13707.29	-1.44079195498235E-5
-17389.67	-1.49574393282941E-5
-21069.75	-1.5533811270098E-5
-24751.27	-1.58824566741765E-5
-28431.36	-1.60553567949804E-5
-32114.3	-1.68961702837255E-5
-35795.82	-1.67011882368235E-5
-39475.19	-1.72502359402157E-5
-43155.99	-1.72255387308039E-5
-46835.36	-1.76671648655686E-5
-50514.73	-1.75252615885686E-5
-54194.1	-1.78589465468627E-5
-57873.46	-1.83215248947844E-5
-61551.4	-1.79578469227451E-5
-65233.64	-1.84277565089412E-5
