Field (Oe)	Long Moment (emu)
69900	3.37304256862745E-5
66747.37	3.23932962759412E-5
63594.74	3.19590100028627E-5
60442.11	3.14318805925294E-5
57289.47	3.0847860258098E-5
54136.84	3.02971033967843E-5
50984.21	3.02220328099804E-5
47831.58	2.92037269290589E-5
44678.95	2.85332935971569E-5
41526.32	2.70341641868235E-5
38373.68	2.7306761499451E-5
35221.05	2.67094556185294E-5
32068.42	2.67107477768235E-5
28915.79	2.51543438566863E-5
25763.16	2.42287242502745E-5
22610.53	2.33328889575882E-5
19457.89	2.23154862702157E-5
16305.26	2.11744450951765E-5
13152.63	1.99180999985686E-5
10000	1.84651490196078E-5
8019.736	1.73039464273412E-5
6826.017	1.66929754611627E-5
5621.703	1.40682106091902E-5
4417.39	1.51042701437451E-5
3213.077	1.40022335998686E-5
2008.334	1.17907902609529E-5
1506.222	1.17584192483098E-5
1305.36	1.14343033557647E-5
1104.613	1.09807223060333E-5
903.8362	1.0418657282882E-5
702.9456	1.01177470729067E-5
502.1981	9.19297245736255E-6
301.2644	7.76706040374039E-6
100.4453	4.44206539910529E-6
-100.6171	-5.07303971040373E-6
-301.4935	-7.7770853963951E-6
-502.4415	-9.03621519696765E-6
-703.2176	-9.98717040445176E-6
-904.0939	-1.04274922792414E-5
-1104.813	-1.09590545134843E-5
-1305.617	-1.14048599090059E-5
-1506.422	-1.16450445930157E-5
-3514.227	-1.41708784985941E-5
-6525.082	-1.64016315089765E-5
-8021.597	-1.74246944608098E-5
-11030.67	-1.89015308753529E-5
-14730.65	-2.10288515761765E-5
-18433.35	-2.20543957885294E-5
-22134.91	-2.37624824968431E-5
-25836.47	-2.45335495973137E-5
-29537.31	-2.5240117221549E-5
-33241.02	-2.61402918266275E-5
-36941.87	-2.75259170416275E-5
-40642.72	-2.79952285311373E-5
-44344.27	-2.90267380408432E-5
-48045.11	-2.95839625278235E-5
-51744.53	-3.03410091262157E-5
-55445.37	-3.03851943975098E-5
-59144.79	-3.10668488390392E-5
-62845.62	-3.16201235783922E-5
-66546.47	-3.23741409502549E-5
-70247.31	-3.26960713195883E-5
