Field (Oe)	Long Moment (emu)
69900	2.28151315686275E-5
66747.37	2.26847668641765E-5
63594.74	2.21955786303137E-5
60442.11	2.17483511807647E-5
57289.47	2.16280563365294E-5
54136.84	2.16070053575686E-5
50984.21	2.11973269276275E-5
47831.58	2.08276484976863E-5
44678.95	2.01221857540196E-5
41526.32	1.98085073240784E-5
38373.68	1.96166536563137E-5
35221.05	1.90934065989216E-5
32068.42	1.88908556199608E-5
28915.79	1.84336967978628E-5
25763.16	1.79788713090981E-5
22610.53	1.74160164085686E-5
19457.89	1.69431431329608E-5
16305.26	1.63422392128235E-5
13152.63	1.57471294103333E-5
10000	1.4896568627451E-5
37666	1.93017959098039E-5
34207.75	1.90152932348039E-5
30749.5	1.83325748735294E-5
27291.25	1.82004055318627E-5
23833	1.7570942072549E-5
20374.75	1.70771648877451E-5
16916.5	1.64697308401961E-5
13458.25	1.58020124789216E-5
10000	1.48646666666667E-5
69900	2.30923864705883E-5
66747.37	2.24997668641765E-5
63594.74	2.24883237283529E-5
60442.11	2.20070766709608E-5
57289.47	2.19255073169215E-5
54136.84	2.12949465340392E-5
50984.21	2.12154641825294E-5
47831.58	2.09591190859216E-5
8019.735	1.37620504721863E-5
6022.855	1.43094334966569E-5
4016.095	1.22561853750098E-5
2008.478	9.73391074443529E-6
1506.251	7.85846959486078E-6
1205.057	8.51295855167255E-6
602.6864	5.9480462810698E-6
301.293	3.38887138783725E-6
0.1431661	-2.46197552638967E-7
-301.4935	-3.57493833757157E-6
-602.8724	-5.99439295948941E-6
-904.0939	-7.42674325963353E-6
-1205.258	-8.34776416525882E-6
-1506.451	-9.26995866505686E-6
-2008.548	-1.01573148601804E-5
-4016.095	-1.22627096887353E-5
-6023.14	-1.3369168951098E-5
-8021.455	-1.38799786327353E-5
-11000	-1.50790078431373E-5
-14687.5	-1.59956709558824E-5
-18375	-1.67565693627451E-5
-22062.5	-1.79099285539216E-5
-25750	-1.82883759803922E-5
-29437.5	-1.84243822303922E-5
-33125	-1.8936006127451E-5
-36812.5	-1.93698849264706E-5
-40500	-1.96668323529412E-5
-44187.5	-2.0089093504902E-5
-47875	-2.06130409313726E-5
-51562.5	-2.09020863970588E-5
-55250	-2.04842691176471E-5
-58937.5	-2.30877263480392E-5
-62625	-2.14404973039216E-5
-66312.5	-2.32724839460784E-5
-70000	-2.38701568627451E-5
