Field (Oe)	Long Moment (emu)
59900	1.31138431372549E-5
56573.33	1.33268456019608E-5
53246.67	1.31120328294118E-5
49920	1.29267019607843E-5
46593.33	1.28430377588235E-5
43266.67	1.26027347901961E-5
39940	1.27431882352941E-5
36613.33	1.2518259327451E-5
33286.67	1.23349563588235E-5
29960	1.2320831372549E-5
26633.33	1.19695985431372E-5
23306.67	1.1649972045098E-5
19980	1.12998862745098E-5
16653.33	1.09127122686275E-5
13326.67	1.02417622411765E-5
10000	9.42018627450981E-6
8019.735	8.71362927745098E-6
6825.586	8.12880650862745E-6
5621.417	7.41930833196079E-6
4417.247	6.46302109078431E-6
3212.719	5.66416248058823E-6
2008.047	3.76872563980392E-6
1505.964	3.21433759921569E-6
1204.743	2.51608385235294E-6
903.5785	2.05570803460784E-6
602.3571	1.3676925835098E-6
301.0067	6.34859673392157E-7
0.4294983	8.0543800257E-8
-301.1928	-5.98958500235294E-7
-602.5861	-1.36315845429412E-6
-903.7789	-1.95551764080392E-6
-1204.943	-2.54929155823529E-6
-1506.107	-2.95197774568628E-6
-2008.262	-3.90073627411765E-6
-3212.862	-5.38241831333333E-6
-5621.417	-7.05165244960784E-6
-6825.73	-8.06806120980392E-6
-8021.598	-8.46834665529412E-6
-10027.35	-9.49307120588235E-6
-13609.37	-1.07904266137255E-5
-17197.12	-1.09391706823529E-5
-20781.28	-1.17835261019608E-5
-24366.15	-1.1939195754902E-5
-27952.47	-1.22711069862745E-5
-31538.06	-1.30464423019608E-5
-35123.66	-1.27376192431373E-5
-38708.54	-1.28440618941177E-5
-42291.98	-1.29594281215686E-5
-45876.15	-1.31455369313725E-5
-49459.59	-1.32176482568628E-5
-53043.04	-1.3214787482353E-5
-56626.49	-1.33206521980392E-5
-60209.94	-1.2782301227451E-5
