Field (Oe)	Long Moment (emu)
69900	2.85180727450981E-5
66747.37	2.89054531386863E-5
63594.74	2.74259707871765E-5
60442.11	2.73362923572353E-5
57289.47	2.69331543757451E-5
54136.84	2.63213190830588E-5
50984.21	2.55017386923333E-5
47831.58	2.53230406545491E-5
44678.95	2.46548328128432E-5
41526.32	2.40389386966275E-5
38373.68	2.36287713033726E-5
35221.05	2.35729065989216E-5
32068.42	2.23098164042745E-5
28915.79	2.17046575821765E-5
25763.16	2.1106577191451E-5
22610.53	2.33524575850392E-5
19457.89	1.9489956858451E-5
16305.26	1.86478176441961E-5
13152.63	1.76753549005294E-5
10000	1.65971666666667E-5
8019.592	1.46430533948392E-5
6524.651	1.5134501307802E-5
5019.546	1.42473683792824E-5
3514.155	1.34574226686176E-5
2008.334	1.1884521633502E-5
1506.222	1.10832261110549E-5
903.8649	9.7188646272002E-6
602.672	8.5058125660549E-6
-301.4792	-6.56480980630745E-6
-602.901	-8.58602943378235E-6
-904.0939	-9.7282393380649E-6
-1205.258	-1.0440777890749E-5
-1506.422	-1.10910494949765E-5
-2008.477	-1.17280922402608E-5
-6023.14	-1.47457228726667E-5
-8019.736	-1.52658385842039E-5
-11134.03	-1.5977445882098E-5
-14827.42	-1.80266966219216E-5
-18523.54	-1.97288951307059E-5
-22217.95	-2.19595005206863E-5
-25915.21	-2.12680584942941E-5
-29609.62	-2.18123305509412E-5
-33306.16	-2.24614870875294E-5
-37001.99	-2.33036429151176E-5
-40696.4	-2.46905424227451E-5
-48083.77	-2.41287848947648E-5
-51777.46	-2.61843908085098E-5
-55471.14	-2.56011450138432E-5
-59164.83	-2.70651823001373E-5
-62861.37	-2.73291133465295E-5
-66555.05	-2.88971420616667E-5
-70250.18	-2.80463155553334E-5
