Field (Oe)	Long Moment (emu)
69900	3.52920784313726E-5
66747.37	3.52509466137255E-5
63594.74	3.53530500901961E-5
60442.11	3.45968202333334E-5
57289.47	3.45935036529412E-5
54136.84	3.42314894823529E-5
50984.21	3.37949655078431E-5
47831.58	3.36219709450981E-5
44678.95	3.31688293235294E-5
41526.32	3.2611570054902E-5
38373.68	3.23914691607843E-5
35221.05	3.19091804803922E-5
32068.42	3.14029212117647E-5
28915.79	3.08493286098039E-5
25763.16	3.01903928705883E-5
22610.53	2.93809277196078E-5
19457.89	2.84345229039216E-5
16305.26	2.73107832431373E-5
13152.63	2.58793082882353E-5
10000	2.40814882352941E-5
8019.735	2.20587316303922E-5
6826.017	2.16337070378431E-5
5621.847	2.04327805809804E-5
4417.533	1.91811641288235E-5
3213.077	1.76638260064706E-5
2008.334	1.55882714678431E-5
1506.222	1.44422417329412E-5
1305.388	1.390753252E-5
1104.584	1.33658972031373E-5
903.8362	1.26703990764314E-5
702.9598	1.1877189214549E-5
502.2124	1.10454735763922E-5
301.2787	9.89499404358823E-6
100.4597	8.536482563E-6
-100.6315	5.88671556598039E-6
-301.4935	2.69195666441176E-6
-502.4557	-8.73827755490197E-8
-703.189	-2.89148446686274E-6
-904.0939	-5.33644551041176E-6
-1104.813	-7.23016160333333E-6
-1305.646	-8.97159351647059E-6
-1506.451	-1.03154326037255E-5
-2008.548	-1.28934214690196E-5
-3413.938	-1.6990068392549E-5
-6224.003	-2.06705889582353E-5
-7621.305	-2.20837642833333E-5
-9024.332	-2.31731813780392E-5
-11030.66	-2.43861198313726E-5
-14318.9	-2.63500055098039E-5
-17611.58	-2.76931317294118E-5
-20902.25	-2.89144931862745E-5
-24191.49	-2.96991688647059E-5
-27484.32	-3.07294978980392E-5
-30773.56	-3.13676735764706E-5
-34064.23	-3.18546428764706E-5
-37354.9	-3.23164553137255E-5
-40644.14	-3.27575525607843E-5
-43933.39	-3.30764228058823E-5
-47223.34	-3.35679225215686E-5
-50511.87	-3.39668427901961E-5
-53800.4	-3.36614493333333E-5
-57088.91	-3.43315883117647E-5
-60378.88	-3.44631536313725E-5
-63668.82	-3.44336548588236E-5
-66958.78	-3.56653883568627E-5
-70248.75	-3.54478360294118E-5
