Field (Oe)	Long Moment (emu)
69900	5.44495910921569E-5
66747.37	5.36218959611552E-5
63594.74	5.27285145556436E-5
60442.11	5.19403292285634E-5
57289.47	5.06958293017492E-5
54136.84	4.96285263276102E-5
50984.21	4.86546547260203E-5
47831.58	4.74717635165871E-5
44678.95	4.60146566208794E-5
41526.32	4.47926477643874E-5
38373.68	4.33270694062008E-5
35221.05	4.21389821183363E-5
32068.42	4.03595516932169E-5
28915.79	3.86829251896661E-5
25763.16	3.67864947645467E-5
22610.53	3.47677898296233E-5
19457.89	3.24911428439857E-5
16305.26	2.99920555561212E-5
13152.63	2.71344878760998E-5
10000	2.36620770588235E-5
8020.166	2.09908089606811E-5
6524.651	1.88514527354626E-5
5019.546	1.63411032085506E-5
3514.083	1.3188801893517E-5
2008.334	8.758636947662E-6
1506.222	7.31607365052443E-6
1205.029	6.26147145324798E-6
602.6719	3.35721399702415E-6
301.2931	1.88870702688752E-6
0.1288494	-1.47002561304405E-7
-301.4935	-1.84323072320236E-6
-602.9011	-3.25940472096485E-6
-904.0367	-4.83369739027839E-6
-1205.258	-6.02458755186067E-6
-1506.422	-7.30132446873228E-6
-2008.477	-8.87927356699433E-6
-6023.14	-1.78035711960592E-5
-8022.313	-2.08094848961031E-5
-11132.02	-2.52033471186051E-5
-14825.42	-2.83636030412757E-5
-18521.39	-3.1933054232819E-5
-22215.81	-3.43410561910947E-5
-25913.07	-3.69843946698826E-5
-29607.47	-3.91893262522198E-5
-33303.29	-4.11365486438328E-5
-36999.13	-4.29444492545214E-5
-40693.53	-4.426507691529E-5
-44387.22	-4.60406032890678E-5
-48082.34	-4.82322546796985E-5
-51776.02	-4.86768586106051E-5
-55468.27	-5.0228474779561E-5
-59161.96	-5.11323344866722E-5
-62858.52	-5.19817196115366E-5
-66552.2	-5.32799509934235E-5
-70247.31	-5.49035230784379E-5
