Field (Oe)	Long Moment (emu)
69900	7.48369131372549E-5
66747.37	7.49808259370785E-5
63594.74	7.47755230506274E-5
60442.11	7.45684554582941E-5
57289.47	7.34492893494314E-5
54136.84	7.35098688159216E-5
50984.21	7.32000561255491E-5
47831.58	7.26759297096863E-5
44678.95	7.21505287840196E-5
41526.32	7.20702062897255E-5
38373.68	7.06027754749804E-5
35221.05	6.96976196473529E-5
32068.42	6.8579110878549E-5
28915.79	6.73792687764118E-5
25763.16	6.52690051056471E-5
22610.53	6.43222904544902E-5
19457.89	6.24239772868039E-5
16305.26	5.99270165572157E-5
13152.63	5.73449783766471E-5
10000	5.39282843137255E-5
8020.166	5.13037292175255E-5
6825.587	4.90620867928255E-5
5621.417	4.5417021870649E-5
4417.247	4.48486530269039E-5
3212.933	4.16535655451353E-5
2008.263	3.77965846004098E-5
1506.165	3.55675677933235E-5
1305.303	3.45471195900569E-5
502.1837	3.02072883486453E-5
301.2501	2.7175114767028E-5
100.4453	2.06840798822312E-5
-100.6029	2.10586671051084E-5
-301.4792	9.71097586634196E-6
-502.4127	-1.45477071222669E-5
-703.1746	-2.68421991750741E-5
-904.0652	-3.03842020767914E-5
-1104.784	-3.2168081876298E-5
-1305.589	-3.19952940255431E-5
-1506.365	-3.48485577317549E-5
-2008.405	-3.70527266723824E-5
-3413.724	-4.17863397712392E-5
-4819.114	-4.51567739060824E-5
-6223.86	-4.79328086744706E-5
-7621.448	-5.04861272718902E-5
-9024.046	-5.21710183368196E-5
-11030.95	-5.46905615997059E-5
-14318.33	-5.98829355042941E-5
-17610.15	-6.10637281989216E-5
-20900.82	-6.33206542377647E-5
-24190.06	-6.63537816285882E-5
-27482.17	-6.57010165966863E-5
-30772.12	-6.79872465042353E-5
-34062.07	-6.93765940588432E-5
-37352.75	-7.05318588102941E-5
-40641.99	-7.13256332599412E-5
-43931.95	-7.21091871742157E-5
-47221.9	-7.24550445327451E-5
-50510.43	-7.37154615637059E-5
-53798.96	-7.28105844770197E-5
-57087.49	-7.33530603315098E-5
-60377.44	-7.36568588665099E-5
-63667.4	-7.50906970945098E-5
-66957.34	-7.55935735835686E-5
