Field (Oe)	Long Moment (emu)
69900	1.39395910921569E-5
66156.25	1.33282764895834E-5
62412.5	1.26924520830883E-5
58668.75	1.229260806875E-5
54925	1.1498940525E-5
51181.25	1.1056841608701E-5
47437.5	1.03862132806373E-5
43693.75	9.79176142316179E-6
39950	9.15054485980395E-6
36206.25	8.64374006115197E-6
32462.5	7.78526859583338E-6
28718.75	7.18297360110295E-6
24975	6.45886488088236E-6
21231.25	5.72291302340688E-6
17487.5	5.00413763651961E-6
13743.75	4.12736224963236E-6
10000	3.34666529411765E-6
8020.451	3.19819662172535E-6
6825.874	2.65238108488201E-6
5621.703	2.26632875939273E-6
4417.533	1.96280985466115E-6
3213.005	1.64673808337677E-6
2008.334	1.16929204570122E-6
1506.222	1.00884325836757E-6
1305.36	9.2637322012706E-7
1104.584	8.1518226901004E-7
903.8362	6.65941626397581E-7
702.9456	5.16170656447467E-7
502.2553	4.38228177991332E-7
301.2787	3.57024395427531E-7
100.474	7.66762293486667E-8
-100.6458	1.66117672712757E-7
-301.5078	-4.07338361159885E-8
-502.4414	-2.19974251588632E-7
-703.2319	-5.83359607613955E-7
-904.0939	-4.63014939972111E-7
-1104.813	-6.30561112720765E-7
-1305.618	-7.48463422674E-7
-1506.422	-8.01871527555805E-7
-2008.477	-1.04064572385708E-6
-3514.227	-1.61398203164629E-6
-5019.69	-2.27023540550334E-6
-6524.939	-2.48239556074072E-6
-8022.599	-2.81997460535601E-6
-10027.64	-3.2205228802455E-6
-13972.73	-5.0238610746155E-6
-17924.39	-5.15174423534843E-6
-21870.77	-6.16276383461002E-6
-25821.44	-7.11149181776314E-6
-29767.81	-7.68688309180058E-6
-33718.49	-8.57111194919744E-6
-37666.29	-9.5426184361661E-6
-41613.37	-1.02546698207237E-5
-45561.19	-1.11531192326504E-5
-49508.27	-1.17886019897571E-5
-53453.92	-1.22932538476581E-5
-57401.02	-1.27700912944286E-5
-61348.11	-1.32040455140143E-5
-65296.63	-1.39303992602567E-5
-69243.72	-1.44477848523914E-5
