Field (Oe)	Long Moment (emu)
69900	6.70135126607844E-5
66747.37	6.68111116474297E-5
63594.74	6.7062142006624E-5
60442.11	6.51420939344457E-5
57289.47	6.41690645958669E-5
54136.84	6.32759773080023E-5
50984.21	6.22975959024908E-5
47831.58	6.11036262616852E-5
44678.95	5.99401468169579E-5
41526.32	5.86350007055639E-5
38373.68	5.72693733277694E-5
35221.05	5.59211978046108E-5
32068.42	5.44380909089032E-5
28915.79	5.25929644053524E-5
25763.16	5.078732809788E-5
22610.53	4.86936231629567E-5
19457.89	4.64301526479073E-5
16305.26	4.39232810463173E-5
13152.63	4.10666251310018E-5
10000	3.77065711764706E-5
8020.165	3.45439078928646E-5
6825.874	3.356039382998E-5
5621.703	3.07264522888045E-5
4417.533	2.94201627958376E-5
3213.005	2.66287478872983E-5
2008.334	2.31499459672698E-5
1506.222	2.13119432583676E-5
1305.389	2.03436973240613E-5
1104.584	1.93199263866571E-5
903.8362	1.80768945675741E-5
702.9456	1.66831039897808E-5
502.2124	1.50083071725838E-5
301.2787	1.27078732189569E-5
100.474	8.15048191562318E-6
-100.6458	-9.15649026846372E-6
-301.5078	-1.29019191302336E-5
-502.4414	-1.55185683692357E-5
-703.2032	-1.67009504318678E-5
-904.0939	-1.80716433713447E-5
-1104.813	-1.92157758186031E-5
-1305.618	-2.02841055795367E-5
-1506.451	-2.11361064158038E-5
-2008.477	-2.30813427826806E-5
-3514.298	-2.72957078466199E-5
-6524.939	-3.29647641881917E-5
-8022.457	-3.51275308185461E-5
-11031.52	-3.85947295966149E-5
-14730.65	-4.247357273545E-5
-18433.35	-4.56910730773343E-5
-22134.91	-4.86303855201398E-5
-25836.47	-5.07532665903963E-5
-29537.31	-5.31050553033398E-5
-33241.02	-5.5206085120311E-5
-36941.14	-5.69989579465298E-5
-40641.99	-5.88495318474426E-5
-44344.27	-6.01569464514826E-5
-48045.11	-6.16902547722692E-5
-51743.1	-6.30313531492804E-5
-55443.94	-6.37194653916357E-5
-59143.34	-6.49153340958357E-5
-62844.2	-6.69692127925608E-5
-66546.47	-6.67745284831414E-5
-70245.88	-6.79640647282518E-5
