Field (Oe)	Long Moment (emu)
69900	2.94329244254903E-5
66747.37	2.89793469415473E-5
63594.74	2.81793969085847E-5
60442.11	2.73034664834653E-5
57289.47	2.64111234193963E-5
54136.84	2.53402910334926E-5
50984.21	2.43215174711183E-5
47831.58	2.34024497910969E-5
44678.95	2.23483821110755E-5
41526.32	2.20332359996816E-5
38373.68	2.01624615630635E-5
35221.05	1.89513350595127E-5
32068.42	1.76707967912561E-5
28915.79	1.61482977386857E-5
25763.16	1.49113771174879E-5
22610.53	1.34360447315841E-5
19457.89	1.19410742165347E-5
16305.26	1.03439967325918E-5
13152.63	8.62229179766844E-6
10000	7.14623392156863E-6
8020.595	5.6809797990703E-6
6022.712	4.53990240587875E-6
4015.952	3.82997247594385E-6
2008.334	1.93891459472082E-6
1506.193	2.09611915443332E-6
1205.029	1.24749302187543E-6
903.8649	8.23187076653542E-7
602.6863	7.11099471621391E-7
301.2931	3.41710654338496E-7
0.1288494	1.24280379872066E-7
-301.5078	-3.13186875331675E-7
-602.8867	-4.75909736563688E-7
-904.0939	-9.515061164427E-7
-1205.229	-1.10507129106367E-6
-1506.422	-1.38614015500679E-6
-2008.477	-1.68542219444531E-6
-4016.024	-3.32369249598886E-6
-6023.14	-4.57136335292196E-6
-8022.17	-5.54227435520216E-6
-11031.24	-7.37505609818275E-6
-14730.36	-9.47860620591138E-6
-18434.79	-1.14929342625484E-5
-22135.62	-1.35068103365424E-5
-25836.47	-1.49131391394159E-5
-29538.03	-1.65690300135939E-5
-33241.74	-1.86104127717416E-5
-36941.86	-2.05440699116859E-5
-40642.71	-2.18985947929908E-5
-44344.27	-2.33437111573649E-5
-48045.11	-2.37032939879555E-5
-51743.1	-2.52767453061432E-5
-55443.94	-2.59613281367338E-5
-59143.34	-2.73692556644632E-5
-62844.2	-2.85788206356981E-5
-66546.47	-2.93321755419649E-5
-70247.31	-3.00950917058888E-5
