Field (Oe)	Long Moment (emu)
69900	9.12951643529411E-6
66156.25	8.97755790808821E-6
62412.5	8.55452094950979E-6
58668.75	7.89707222622547E-6
54925	7.78432938529412E-6
51181.25	7.31276301495096E-6
47437.5	6.71511821323531E-6
43693.75	6.77659105857841E-6
39950	5.91757370784316E-6
36206.25	5.86365439632351E-6
32462.5	5.23385273186274E-6
28718.75	4.78643342034313E-6
24975	4.3042395990196E-6
21231.25	3.81986930710782E-6
17487.5	3.28778332892158E-6
13743.75	2.81533460563726E-6
10000	2.32238588235294E-6
8017.875	2.00301443670098E-6
6825.301	1.86736823460035E-6
5621.13	1.59896195639882E-6
4416.961	5.64532633068586E-7
3212.576	1.10727649736408E-6
2007.976	7.79490850250355E-7
1505.878	8.35617954968706E-7
1204.685	6.08153287967255E-7
903.5212	5.46142358165129E-7
602.3857	5.4950681038005E-7
301.0497	3.31945654394796E-7
-301.2072	-2.21078791685678E-7
-602.6433	-2.67029774273321E-7
-903.7504	-4.58273935435043E-7
-1204.943	-6.08194191854393E-7
-1506.108	-7.16393255363608E-7
-2008.047	-8.50925689357766E-7
-3513.797	-1.2433763757009E-6
-5019.117	-1.5272592156962E-6
-6524.365	-1.67382462150137E-6
-8019.307	-2.1396905951358E-6
-10025.63	-2.4152096168106E-6
-13371.14	-2.6057475052651E-6
-16717.79	-3.0417575134945E-6
-20064.73	-3.6206416643361E-6
