Field (Oe)	Long Moment (emu)
69900	3.80765062745098E-5
66747.37	3.78407333150196E-5
63594.74	3.73887838849412E-5
60442.11	3.69509521019215E-5
57289.47	3.64878927224706E-5
54136.84	3.59882962335686E-5
50984.21	3.58922291564314E-5
47831.58	3.50375346283137E-5
44678.95	3.44174479433333E-5
41526.32	3.35621357681569E-5
38373.68	3.27859293298823E-5
35221.05	3.20199308801961E-5
32068.42	3.11280108618823E-5
28915.79	3.01127280984706E-5
25763.16	2.8870327688E-5
22610.53	2.75424959049804E-5
19457.89	2.59174757412157E-5
16305.26	2.40677223895686E-5
13152.63	2.18391553124314E-5
10000	1.90559019607843E-5
8018.161	1.6897177094702E-5
6825.444	1.55392647913569E-5
5621.13	1.39267834163529E-5
4416.96	1.22104402142745E-5
3212.719	1.01062614304745E-5
2007.976	7.68487993327059E-6
1505.906	6.27100178570196E-6
1305.131	5.91327365050588E-6
1104.326	5.41603233385882E-6
903.5499	4.70831347678078E-6
702.7022	3.88576699003843E-6
501.9834	3.14906990757098E-6
301.0067	2.01221683862863E-6
100.2306	9.23783373707451E-7
-100.3594	4.62782439158431E-7
-301.1929	-1.63527331163176E-6
-502.0977	-2.53697084458549E-6
-702.8596	-3.37846308335843E-6
-903.7503	-4.14361666612824E-6
-1104.47	-4.90249011462745E-6
-1305.274	-5.32411455398431E-6
-1506.107	-6.00990294456078E-6
-2008.047	-7.21147831891373E-6
-3413.51	-1.01644769944706E-5
-6223.43	-1.44463576543922E-5
-7619.443	-1.60720084866157E-5
-9024.332	-1.76794974407373E-5
-11029.8	-1.978072364E-5
-14319.48	-2.24292449071373E-5
-17610.86	-2.47014967832941E-5
-20901.54	-2.63351796543529E-5
-24191.49	-2.79763460251373E-5
-27482.88	-2.94279823604706E-5
-30773.56	-3.06386848393725E-5
-34063.51	-3.16483610140784E-5
-37353.46	-3.24955175809412E-5
-40642.71	-3.34208796525098E-5
-43931.95	-3.42918768727451E-5
-47220.48	-3.49544108247843E-5
-50510.43	-3.51432830779216E-5
-53798.96	-3.6095130755451E-5
-57087.49	-3.64315862761176E-5
-60377.44	-3.69070271567059E-5
-63667.4	-3.70681858298039E-5
-66955.92	-3.77793157148235E-5
-70245.88	-3.80835136036078E-5
