Field (Oe)	Long Moment (emu)
69900	3.07393494117647E-5
66747.37	3.00094588052157E-5
63594.74	2.91304505516078E-5
60442.11	2.84179128862353E-5
57289.47	2.86321084087451E-5
54136.84	2.68883942727843E-5
50984.21	2.6060170332902E-5
47831.58	2.52842012949804E-5
44678.95	2.37676440217647E-5
41526.32	2.32508906701176E-5
38373.68	2.22120469769412E-5
35221.05	2.11628230370588E-5
32068.42	1.99539814501176E-5
28915.79	1.86791888827843E-5
25763.16	1.73485335703529E-5
25900	1.573212E-5
22720	1.60707195294118E-5
19540	1.4499309254902E-5
16360	1.28296440784314E-5
13180	1.10037043921569E-5
10000	9.00214705882353E-6
8017.731	6.29545123246666E-6
5621.13	5.82868733792157E-6
4416.961	6.25597669940784E-6
2007.976	2.42821914895686E-6
1505.907	1.99941180024706E-6
1254.966	1.69493713291765E-6
1003.938	1.42143531781176E-6
753.0107	1.05876363406392E-6
501.9546	8.23727763181961E-7
250.8986	4.71654560421177E-7
0.4151817	-1.13361724435587E-7
-251.0847	-2.63093365303137E-7
-502.155	-6.44151442725491E-7
-753.2111	-9.36810941058432E-7
-1004.11	-1.34862154505882E-6
-1255.195	-1.48721379707843E-6
-1506.108	-1.67408256694902E-6
-2008.047	-2.39100273067843E-6
-3513.797	-3.88699616891372E-6
-5019.117	-5.28936080373725E-6
-6524.365	-6.48435635209803E-6
-8019.45	-7.67446721588235E-6
-11029.23	-9.5867114277255E-6
-14730.93	-1.1800307919098E-5
-18433.35	-1.36432521378431E-5
-22135.62	-1.57570667238431E-5
-25837.18	-1.76245847083137E-5
-29537.32	-1.93331271367843E-5
-33241.03	-2.08249705108627E-5
-36941.15	-2.21398518641177E-5
-40642.71	-2.37828894564314E-5
-44341.41	-2.47778050576079E-5
-48043.68	-2.60552470945882E-5
-51741.66	-2.66786777134902E-5
-55442.5	-2.78304362058824E-5
-59141.93	-2.87149075230196E-5
-62842.76	-2.94697717523137E-5
-66543.61	-2.97353852921176E-5
-70244.45	-3.06997908433333E-5
