Field (Oe)	Long Moment (emu)
69900	3.57445454901961E-5
66747.37	3.53761254718824E-5
63594.74	3.49343721202353E-5
60442.11	3.43606579842745E-5
57289.47	3.35832848793333E-5
54136.84	3.28464334884706E-5
50984.21	3.20869350387843E-5
47831.58	3.12985150204706E-5
44678.95	3.04511734335294E-5
41526.32	2.97488318465882E-5
38373.68	2.85166254083137E-5
35221.05	2.74116465664706E-5
32068.42	2.62127853716863E-5
28915.79	2.48923751572941E-5
25763.16	2.33982982762353E-5
22610.53	2.17497508069412E-5
19457.89	1.9998740447098E-5
16305.26	1.97213400366275E-5
13152.63	1.57931259006667E-5
10000	1.32973823529412E-5
8017.875	1.16741894053922E-5
6524.223	1.00843009533608E-5
5018.974	8.45457872378824E-6
3513.797	6.59595695322745E-6
2007.976	4.37844071758431E-6
1505.935	3.45093044280392E-6
1305.13	3.13578383203922E-6
1104.326	2.67588694170196E-6
903.5786	2.29731550206824E-6
702.7308	1.77460605308706E-6
501.9976	1.32973760430745E-6
301.0497	7.87456581714902E-7
100.3165	3.46276868229412E-7
-100.3881	-1.18467821423137E-7
-301.1785	-6.64543023750981E-7
-502.1408	-1.19313354991059E-6
-702.8453	-1.64754575771647E-6
-903.7504	-2.08788717738667E-6
-1104.469	-2.49612519812157E-6
-1305.274	-2.92229298535686E-6
-1506.108	-3.3282943316549E-6
-2008.047	-4.21139292675686E-6
-3413.438	-6.34457682957647E-6
-4818.541	-8.12780007281961E-6
-6223.43	-9.77699687007843E-6
-7618.728	-1.09893833809882E-5
-9024.332	-1.22772425387765E-5
-11029.8	-1.41000471694118E-5
-14319.76	-1.64293234895686E-5
-17610.15	-1.86489158680392E-5
-20901.54	-2.08516404386667E-5
-24190.78	-2.25803827569412E-5
-27482.88	-2.43186392232157E-5
-30772.84	-2.55528273080784E-5
-34062.79	-2.69645426984706E-5
-37353.46	-2.84281254240784E-5
-40642.71	-2.93378894564314E-5
-43930.52	-3.04007031320784E-5
-47221.9	-3.13231020670588E-5
-50510.43	-3.18802438622353E-5
-53797.54	-3.28647728465098E-5
-57086.05	-3.30255770958823E-5
-60377.44	-3.41405565684706E-5
-63665.97	-3.47816199322745E-5
-66954.48	-3.52536006522353E-5
-70245.88	-3.58636116428235E-5
