Field (Oe)	Long Moment (emu)
69900	2.52015752588235E-5
66747.37	2.45042808442483E-5
63594.74	2.37573785865357E-5
60442.11	2.2894888093529E-5
57289.47	2.22032481202836E-5
54136.84	2.1266345862571E-5
50984.21	2.03504239970153E-5
47831.58	1.96003844844008E-5
44678.95	1.86702469325706E-5
41526.32	1.77771682042698E-5
38373.68	1.67043517604361E-5
35221.05	1.57801847968412E-5
32068.42	1.47163119508933E-5
28915.79	1.36635371441612E-5
25763.16	1.24682329256643E-5
22610.53	1.12419777267753E-5
19457.89	1.00080436358827E-5
16305.26	8.69771980954276E-6
13152.63	7.28949402241844E-6
10000	5.84639568627451E-6
8018.017	4.66587823256287E-6
6524.509	4.49131243105808E-6
5019.26	3.29922423409176E-6
3513.797	2.4950626502107E-6
2007.976	1.62604869338761E-6
1505.907	1.3828877221711E-6
1204.743	1.04674478315635E-6
903.6071	8.91401099298976E-7
602.3713	5.38212931385164E-7
301.0354	4.55751505496416E-7
0.3579153	8.31511523346124E-8
-301.1785	-1.29533410851235E-7
-602.6004	-5.37149092284063E-7
-903.7217	-6.65890417345698E-7
-1204.943	-9.23854976168118E-7
-1506.136	-1.06586572160094E-6
-2008.047	-1.47957470896561E-6
-6022.568	-3.804749120624E-6
-8019.307	-5.01912196768482E-6
-11130.3	-6.41501962951765E-6
-14925.07	-7.51469496265216E-6
-18720.4	-9.26416275778824E-6
-22512.87	-1.05374772438365E-5
-26308.92	-1.26038154593051E-5
-30102.82	-1.37808389528384E-5
