Field (Oe)	Long Moment (emu)
69900	6.69222156862745E-5
66747.37	6.73033116647059E-5
63594.74	6.70739174470588E-5
60442.11	6.69669742098039E-5
57289.47	6.67567629784314E-5
54136.84	6.61683491529412E-5
50984.21	6.57927784647059E-5
47831.58	6.5444335227451E-5
44678.95	6.5043803754902E-5
41526.32	6.44694585568628E-5
38373.68	6.38935512470588E-5
35221.05	6.32835295784314E-5
32068.42	6.21994000666667E-5
28915.79	6.15109568294118E-5
25763.16	6.05051410431373E-5
22610.53	5.93740213352941E-5
19457.89	5.8169918927451E-5
16305.26	5.67133776509804E-5
13152.63	5.51064432372549E-5
10000	5.32070294117647E-5
8019.163	5.18658394805882E-5
6524.223	4.88302680335294E-5
5019.117	4.89503949429412E-5
3513.797	4.7212547562549E-5
2008.047	4.44495980037255E-5
1505.906	4.27583322278431E-5
1305.045	4.19443500911765E-5
1104.269	4.11376655123529E-5
903.5213	4.02026322980588E-5
702.6449	3.93095703916275E-5
501.926	3.82291705690196E-5
300.9781	3.6891767014451E-5
100.1733	3.50436451223725E-5
-100.3451	3.16122048563333E-5
-301.2358	-3.53502567522745E-5
-502.1265	-3.70637183608824E-5
-702.9026	-3.86773836588627E-5
-903.7503	-3.99894987751176E-5
-1104.527	-4.11517542703922E-5
-1305.303	-4.19104290452941E-5
-1506.107	-4.27121855762745E-5
-2008.191	-4.41498924131373E-5
-3413.51	-4.64232071117647E-5
-4818.684	-4.83801064839216E-5
-6223.43	-5.01080670803922E-5
-7620.446	-5.12232603807843E-5
-9023.473	-5.23364233766667E-5
-11030.09	-5.36070707705882E-5
-14318.33	-5.56262165509804E-5
-17610.15	-5.83280840294118E-5
-20900.82	-5.88340951254902E-5
-24190.06	-6.00107412980392E-5
-27481.45	-6.00734199313726E-5
-30772.12	-6.23017049490196E-5
-34062.07	-6.31395963509804E-5
-37352.75	-6.39469042647059E-5
-40641.99	-6.4782738672549E-5
-43930.52	-6.47051827529412E-5
-47220.47	-6.57379663117647E-5
-50509	-6.60559005882353E-5
-53797.53	-6.72377270215686E-5
-57086.05	-6.68097168333334E-5
-60374.57	-6.77104321352941E-5
-63665.97	-6.69307611156863E-5
-66954.49	-6.78541234764706E-5
-70244.45	-6.72997436568627E-5
