Field (Oe)	Long Moment (emu)
69900	1.47586319607843E-5
66156.25	1.42401292279412E-5
62412.5	1.35926068872549E-5
58668.75	1.2888417879902E-5
54925	1.22009935784314E-5
51181.25	1.15696477083333E-5
47437.5	1.08729096813726E-5
43693.75	1.00540147916667E-5
39950	9.33678656862746E-6
36206.25	8.6006367769608E-6
32462.5	7.8353693382353E-6
28718.75	6.91073915441178E-6
24975	6.09105014705883E-6
21231.25	5.24251800245098E-6
17487.5	4.36178977941177E-6
13743.75	3.48052234068629E-6
10000	2.5924705882353E-6
8019.306	1.81606780855294E-6
6825.586	1.81708837239608E-6
5621.417	1.5128539259E-6
4417.247	1.34127303944902E-6
3212.719	9.132107667902E-7
2008.047	6.40037611213726E-7
1505.936	6.44213650729412E-7
1305.102	4.47479983243138E-7
1104.297	2.99788172488235E-7
702.6593	2.4245130148255E-7
501.926	2.01652176670588E-7
300.9781	1.81125861066078E-7
100.1733	3.77745594921564E-9
-100.3451	-1.84722127503922E-8
-301.2072	-6.86955488517648E-8
-502.155	-1.36063396931372E-7
-702.8883	-2.48088011939412E-7
-903.8076	-2.94861242872941E-7
-1104.527	-2.73880146429412E-7
-1305.303	-2.98041865158824E-7
-1506.165	-4.78697420009805E-7
-2008.191	-6.75321043150981E-7
-3514.012	-8.79933314752942E-7
-5019.546	-1.40292712321961E-6
-6524.651	-1.66779819103334E-6
-10027.35	-2.50619159009803E-6
-13973.3	-3.50919634137255E-6
-17924.39	-4.43784363731374E-6
-21871.48	-5.76241738815688E-6
-25821.44	-6.28667577035294E-6
-29768.53	-7.40907305060785E-6
-33719.2	-8.49410772235295E-6
-37666.29	-9.35496578692158E-6
-41613.37	-9.67490847154904E-6
-45561.19	-9.9507265267255E-6
-49508.27	-1.14816496035098E-5
-53455.36	-1.2077017472E-5
-57402.46	-1.26145752302353E-5
-61349.54	-1.34247139932941E-5
-65298.07	-1.41478769654706E-5
-69245.16	-1.42863820888628E-5
