Field (Oe)	Long Moment (emu)
69900	6.9077705882353E-5
66747.37	6.95222332333334E-5
63594.74	6.95128390156863E-5
60442.11	6.95920722490196E-5
57289.47	6.94692139588235E-5
54136.84	6.90161922901961E-5
50984.21	6.89037000333333E-5
47831.58	6.83307567960784E-5
44678.95	6.83674214019608E-5
41526.32	6.78210860078432E-5
38373.68	6.74889434039216E-5
35221.05	6.68942158529412E-5
32068.42	6.62654588901961E-5
28915.79	6.54622607509804E-5
25763.16	6.47938273176471E-5
22610.53	6.39424036882353E-5
19457.89	6.27152850058824E-5
16305.26	6.14119903960784E-5
13152.63	5.98459040215686E-5
10000	5.78777156862745E-5
8019.45	5.59745132647059E-5
6825.301	5.5236597015098E-5
5621.13	5.39499284333333E-5
4416.96	5.27661062588235E-5
3212.719	5.04056891692157E-5
2008.047	4.76860293762745E-5
1505.878	4.59841034129412E-5
1104.268	4.44181720462745E-5
903.5213	4.36671421019804E-5
702.645	4.2766217777451E-5
501.9117	4.17485355727255E-5
300.9638	4.05523575083529E-5
100.159	3.91002258123529E-5
-100.3308	3.74482418134118E-5
-301.1928	3.48122760145882E-5
-502.1265	-3.88967477726471E-5
-702.917	-4.09514209429412E-5
-903.7216	-4.21868853182745E-5
-1104.526	-4.35127411964706E-5
-1506.108	-4.55020515913725E-5
-2008.191	-4.72568924131373E-5
-3413.581	-5.06336353601961E-5
-4818.828	-5.27422930501961E-5
-6223.573	-5.44548484158824E-5
-7620.732	-5.56135583458824E-5
-9024.046	-5.69959049298039E-5
-11030.95	-5.87102849313725E-5
-14318.9	-6.06644892745098E-5
-17610.86	-6.18393298470588E-5
-20901.54	-6.31980779568627E-5
-24190.78	-6.41648015803922E-5
-27482.88	-6.5181880345098E-5
-30772.84	-6.63553534666667E-5
-34063.51	-6.69405404450981E-5
-37353.46	-6.70355298862745E-5
-40643.43	-6.78253886490196E-5
-43931.95	-6.80324666960784E-5
-47221.9	-6.83367306470589E-5
-50510.43	-6.9099537472549E-5
-53800.4	-6.9275739372549E-5
-57087.49	-6.97473668098039E-5
-60378.88	-6.92935454431373E-5
-63667.4	-6.97104372156863E-5
-66957.34	-7.03672665058823E-5
-70247.31	-7.01376252686275E-5
