Field (Oe)	Long Moment (emu)
69900	5.5002161372549E-5
66747.37	5.42283036048824E-5
63594.74	5.38819948568235E-5
60442.11	5.31624508146471E-5
57289.47	5.24925796278235E-5
54136.84	5.19205846052549E-5
50984.21	5.1282413112098E-5
47831.58	5.03902220110981E-5
44678.95	4.95680603218628E-5
41526.32	4.87103692208628E-5
38373.68	4.79853999948235E-5
35221.05	4.69021794820588E-5
32068.42	4.58642530869412E-5
28915.79	4.47836992408431E-5
25763.16	4.36485669633726E-5
22610.53	4.2456866058451E-5
19457.89	4.10763380088824E-5
16305.26	3.95640292608235E-5
13152.63	3.7870709728451E-5
10000	3.59164950980392E-5
8019.306	3.44605815340431E-5
6524.365	3.32794320502059E-5
5019.26	3.18843943157255E-5
3513.869	3.00196276953196E-5
2008.047	2.78504964347431E-5
1505.906	2.65729282952196E-5
1204.714	2.59412010846627E-5
903.5499	2.48711738625731E-5
602.3571	2.38494145980916E-5
300.9781	2.22968148806739E-5
0.4294983	-1.95632873783175E-5
-301.1786	-2.24262613857494E-5
-602.5718	-2.39546236877816E-5
-903.7789	-2.50571752789124E-5
-1204.943	-2.58832123049235E-5
-1506.136	-2.65687957593569E-5
-2008.191	-2.76131582980529E-5
-4015.737	-3.07044804722529E-5
-6022.568	-3.25824510198745E-5
-8021.023	-3.42757914856294E-5
-11131.16	-3.71657224261177E-5
-14825.14	-3.9028852623098E-5
-18521.39	-4.08652908314314E-5
-22215.81	-4.24136262752353E-5
-25912.35	-4.36111595214706E-5
-29606.75	-4.46351151857843E-5
-33303.29	-4.62185307849608E-5
-36999.13	-4.76927325333529E-5
-40693.53	-4.80095607466862E-5
-44387.22	-4.91054852194902E-5
-48082.34	-5.10319364748627E-5
-51776.02	-5.19691906657647E-5
-55468.27	-5.2268192583902E-5
-59161.96	-5.32022445076863E-5
-62858.52	-5.41488143961569E-5
-66550.77	-5.47068359221373E-5
-70247.31	-5.43565750507255E-5
