Field (Oe)	Long Moment (emu)
69900	3.3898435882353E-5
66747.37	3.32413428205687E-5
63594.74	3.24914066215294E-5
60442.11	3.19726468930785E-5
57289.47	3.11763051180196E-5
54136.84	3.04406826444706E-5
50984.21	2.9567118994451E-5
47831.58	2.87003200503137E-5
44678.95	2.76147956159804E-5
41526.32	2.67675064757647E-5
38373.68	2.59182235242353E-5
35221.05	2.47721696781373E-5
32068.42	2.35310177928235E-5
28915.79	2.24129639467255E-5
25763.16	2.10604787280785E-5
22610.53	1.95377189996275E-5
19457.89	1.79150340873137E-5
16305.26	1.61657547510196E-5
13152.63	1.40798479637451E-5
10000	1.16484901960784E-5
8019.306	9.8940187889451E-6
6022.568	7.94440200026667E-6
4015.666	5.37027245114118E-6
2008.047	3.08977486611569E-6
1505.936	2.18311561151373E-6
903.5499	1.49007582335745E-6
602.3571	8.74037147111176E-7
300.9924	5.77344658303529E-7
0.4438149	9.36029345290535E-8
-301.1928	-4.27213872324706E-7
-602.5718	-7.64930550526667E-7
-903.7789	-1.33547527891235E-6
-1204.943	-1.71378191276667E-6
-1506.136	-2.16250458288628E-6
-2008.191	-2.99230437648431E-6
-4015.666	-5.6085469609451E-6
-6022.854	-7.91529755285882E-6
-8021.454	-9.78778945913334E-6
-11030.38	-1.2411173280902E-5
-14730.36	-1.51449697759216E-5
-18434.06	-1.75127091776863E-5
-22135.62	-1.94688709975294E-5
-25836.47	-2.12800898611569E-5
-29538.03	-2.27750850143333E-5
-33241.74	-2.4146131952902E-5
-36941.86	-2.51494594533725E-5
-40642.71	-2.69392077287647E-5
-44344.27	-2.79333695486079E-5
-48045.11	-2.87421142087647E-5
-51744.53	-2.99433258976667E-5
-55443.94	-3.05471516183922E-5
-59143.34	-3.17038854885882E-5
-62845.62	-3.24830723112549E-5
-66545.05	-3.34911797722549E-5
-70245.88	-3.34063619936471E-5
